center_x,center_y,radius,color_r,color_g,color_b,confidence
636.0,918.0,379.0,162,164,165,63.0
474.0,910.0,346.0,154,151,151,69.9
590.0,898.0,328.0,142,140,142,62.2
586.0,828.0,323.0,139,137,129,73.5
1214.0,906.0,323.0,76,76,85,69.0
592.0,866.0,320.0,137,133,132,52.5
1210.0,946.0,315.0,65,60,71,50.3
1248.0,994.0,309.0,63,47,56,54.1
1230.0,980.0,308.0,59,48,57,66.4
558.0,824.0,307.0,128,128,120,65.5
1252.0,1210.0,305.0,150,109,99,54.9
1302.0,912.0,304.0,68,67,69,64.7
1248.0,906.0,300.0,56,59,64,68.1
564.0,880.0,297.0,120,118,121,77.1
1294.0,976.0,297.0,58,44,51,71.7
1232.0,936.0,295.0,46,44,53,70.8
1192.0,1186.0,291.0,139,96,86,74.4
1268.0,978.0,290.0,46,32,40,55.7
554.0,846.0,288.0,112,114,111,84.8
1294.0,944.0,283.0,42,37,40,63.8
1286.0,926.0,282.0,40,39,41,79.0
1254.0,960.0,278.0,28,21,28,83.8
1254.0,930.0,278.0,29,29,33,80.0
1280.0,960.0,276.0,30,22,27,81.9
1214.0,1200.0,265.0,140,88,80,93.8
536.0,862.0,264.0,88,94,97,94.8
1268.0,944.0,258.0,1,1,1,96.9
1230.0,1216.0,244.0,145,92,83,75.3
572.0,862.0,232.0,67,67,67,60.5
508.0,838.0,228.0,62,71,63,80.9
494.0,854.0,222.0,53,63,61,78.1
494.0,890.0,214.0,40,49,57,76.2
526.0,912.0,214.0,43,42,56,72.6
506.0,906.0,212.0,39,43,55,82.8
1102.0,946.0,209.0,44,56,72,89.7
356.0,1352.0,207.0,221,200,120,57.2
1122.0,1384.0,205.0,236,193,113,67.3
576.0,610.0,204.0,198,178,102,53.3
1114.0,1412.0,203.0,239,207,119,59.7
1088.0,1410.0,203.0,240,212,122,58.9
1102.0,1374.0,203.0,236,193,111,58.0
334.0,1390.0,203.0,217,194,109,56.4
358.0,1388.0,202.0,209,187,102,61.3
538.0,614.0,202.0,193,173,96,51.8
1088.0,930.0,189.0,43,59,76,51.0
1102.0,1394.0,183.0,238,206,95,98.9
556.0,602.0,183.0,207,180,83,97.9
524.0,882.0,182.0,0,0,0,100.0
346.0,1372.0,182.0,223,193,89,92.7
652.0,1506.0,129.0,181,79,131,88.7
1006.0,330.0,129.0,196,170,80,87.7
812.0,350.0,128.0,179,87,121,90.7
630.0,1062.0,128.0,151,65,109,86.7
958.0,466.0,128.0,169,187,184,85.7
892.0,202.0,118.0,2,2,2,95.8
490.0,1568.0,117.0,1,0,1,91.7
