center_x,center_y,radius,color_r,color_g,color_b,confidence
892,205,116,0,0,0,100.0
1267,944,259,0,0,0,100.0
524,881,184,0,0,0,100.0
489,1567,114,0,0,0,100.0
957,465,129,118,193,241,100.0
535,861,260,118,193,241,100.0
1104,945,211,118,193,241,100.0
539,1429,91,118,193,241,100.0
811,351,124,217,93,155,100.0
626,1064,127,217,93,155,100.0
1214,1199,262,217,93,155,100.0
652,1506,129,217,93,155,100.0
1004,333,127,238,206,94,100.0
552,602,182,238,206,94,100.0
347,1372,182,238,206,94,100.0
1099,1394,182,238,206,94,100.0
